substage,run_id,recipe,split,eval_mode,task_format,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,1,1,capped,8,"1,2",0.0,0.0,6.307649612426758,0.125,2.0794415416798357,5.235519108342402,2e-06,0.26526808738708496,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,100,2,capped,8,"1,2",0.484375,0.23958333333333334,0.9632186889648438,0.125,2.0794415416798357,1.008936342697812,0.0002,2.6451587677001953,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,200,2,capped,8,"1,2",0.5286458730697632,0.20833333333333334,0.7014103531837463,0.125,2.0794415416798357,1.1031850160979841,0.0004,5.113508462905884,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,300,2,capped,8,"1,2",0.7005208730697632,0.4114583333333333,0.486195832490921,0.125,2.0794415416798357,0.7061491154087172,0.0006,7.553524017333984,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,400,2,capped,8,"1,2",0.796875,0.6145833333333334,0.3704194724559784,0.125,2.0794415416798357,0.705560102798892,0.0008,10.025073528289795,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,500,1,capped,8,"1,2",1.0,1.0,0.0006926795467734337,0.125,2.0794415416798357,0.005471389479720867,0.001,12.468254327774048,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,600,1,capped,8,"1,2",1.0,1.0,0.0009521070751361549,0.125,2.0794415416798357,0.015118632412515069,0.001,14.921943187713623,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,700,2,capped,8,"1,2",0.8072916865348816,0.6145833333333334,0.321025013923645,0.125,2.0794415416798357,0.6474919838801501,0.001,17.351299285888672,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,800,2,capped,8,"1,2",0.7630208730697632,0.5260416666666666,0.34074732661247253,0.125,2.0794415416798357,0.49195502969115723,0.001,19.78588056564331,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,900,2,capped,8,"1,2",0.7864583730697632,0.5729166666666666,0.3565034866333008,0.125,2.0794415416798357,1.733175124940578,0.001,22.219030380249023,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,1000,1,capped,8,"1,2",1.0,1.0,0.00027438809047453105,0.125,2.0794415416798357,0.0023553232432616516,0.001,24.637934923171997,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,induction_capped,key_next_value,1000,1,capped,8,"1,2",1.0,1.0,0.0002546725033880648,0.125,2.0794415416798357,,0.001,36.24451231956482,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,induction_capped,key_next_value,1000,2,capped,8,"1,2",0.8280029464513063,0.656005859375,0.2956945764599368,0.125,2.0794415416798357,,0.001,36.24451947212219,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,induction_capped,key_next_value,1000,4,capped,8,"1,2",0.31338501744903624,0.0029296875,4.000801157206297,0.125,2.0794415416798357,,0.001,36.24452304840088,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,induction_capped,key_next_value,1000,8,capped,8,"1,2",0.19949341285973787,0.0,4.4796886667609215,0.125,2.0794415416798357,,0.001,36.24452614784241,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,single_query,key_next_value,1000,1,single,1,"1,2",1.0,1.0,0.0002541625590311014,0.125,2.0794415416798357,,0.001,36.24453258514404,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,single_query,key_next_value,1000,2,single,1,"1,2",0.6658935793675482,0.6658935546875,0.5861015180125833,0.125,2.0794415416798357,,0.001,36.24453663825989,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,single_query,key_next_value,1000,4,single,1,"1,2",0.306274424190633,0.3062744140625,4.337210867553949,0.125,2.0794415416798357,,0.001,36.24454045295715,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,eval,single_query,key_next_value,1000,8,single,1,"1,2",0.21118164621293545,0.211181640625,3.3815215285867453,0.125,2.0794415416798357,,0.001,36.2445433139801,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,1100,1,capped,8,"1,2",1.0,1.0,0.00013053770817350596,0.125,2.0794415416798357,0.0009669568629058185,0.001,38.79616165161133,ok
B0E.1,stage_b0e_b01_induction_v8_seed0,induction capped curriculum N_VALUES=8,train,train_induction_capped,key_next_value,1200,1,capped,8,"1,2",1.0,1.0,7.120131340343505e-05,0.125,2.0794415416798357,0.0005240640821005688,0.001,41.22316336631775,ok
